Collaborator,Count
Šolić Petar,46
Čoko Duje,5
Čagalj Mario,18
Nižetić Sandro,4
Begušić Dinko,2
Bugarić Marin,5
Dujić Rodić Lea,10
Radoš Katarina,1
Škiljo Maja, 7
Blažević Zoran,8
Stančić Ivo, 7
Zovko Kristina,6
Šerić Ljiljana,2
Pleština Vladimir,4
Garma Tonko,3
Russo Mladen,1
Stella Maja,1
Marasović Ivan,1
Božić-Štulić Dunja,1
